Detailed Results ,,,,,,,,,,,
Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total Votes
39,Balurghat,SAMAR KUMAR MAHATO,M,63,GEN,BSP,1668,0,1668,160609,141503
39,Balurghat,BIREN MAHANTA,M,41,GEN,SUCI,1487,3,1490,160609,141503
40,Tapan,BACHCHU HANSDA,M,37,ST,AITC,72048,463,72511,190782,169488
40,Tapan,UROW RAGHU,M,55,ST,RSP,67329,781,68110,190782,169488
40,Tapan,KRISHNA KUJUR,M,34,ST,BJP,20440,70,20510,190782,169488
40,Tapan,None of the Above,NOTA,4088,13,4101,190782,169488
40,Tapan,BABLU KISKU,M,37,ST,BSP,1912,1,1913,190782,169488
40,Tapan,EKKA KALICHARAN,M,44,ST,SUCI,1298,0,1298,190782,169488
40,Tapan,RAM KISKU,M,32,ST,CPI(ML)(L),1044,1,1045,190782,169488
41,Gangarampur,GOUTAM DAS,M,42,SC,INC,79672,729,80401,198724,173378
41,Gangarampur,SATYENDRA NATH ROY,M,59,SC,AITC,69312,356,69668,198724,173378
41,Gangarampur,SANATAN KARMAKAR,M,34,SC,BJP,17565,39,17604,198724,173378
41,Gangarampur,None of the Above,NOTA,2432,0,2432,198724,173378
41,Gangarampur,JATINDRA NATH BARMAN,M,59,SC,BSP,1486,0,1486,198724,173378
41,Gangarampur,SUKLA BHUIMALI,F,33,SC,CPIM,1066,2,1068,198724,173378
41,Gangarampur,BIMAL CHANDRA BARMAN,M,49,SC,IND,719,0,719,198724,173378
42,Harirampur,RAFIKUL ISLAM,M,61,GEN,CPM,71063,384,71447,196518,166816
42,Harirampur,BIPLAB MITRA,M,64,GEN,AITC,66668,275,66943,196518,166816
42,Harirampur,PHANI BHUSAN MAHATA,M,53,GEN,BJP,19802,43,19845,196518,166816
42,Harirampur,TARUN SARKAR,M,29,SC,KPPU,2020,0,2020,196518,166816
42,Harirampur,BIBHUTI TUDU,M,41,ST,JDP,1904,0,1904,196518,166816
42,Harirampur,ANARUL HAQUE ANSARI,M,35,GEN,JMM,1673,0,1673,196518,166816
42,Harirampur,None of the Above,NOTA,1646,2,1648,196518,166816
42,Harirampur,DURGA HEMBRAM,M,30,ST,BSP,1336,0,1336,196518,166816
43,Habibpur,KHAGEN MURMU,M,55,ST,CPM,63641,454,64095,223084,184369
43,Habibpur,AMAL KISKU,M,33,ST,AITC,61343,240,61583,223084,184369
43,Habibpur,PRODIP BASKEY,M,33,ST,BJP,41590,66,41656,223084,184369
43,Habibpur,None of the Above,NOTA,3754,1,3755,223084,184369
43,Habibpur,MANDAL MARDI,M,57,ST,IND,2917,1,2918,223084,184369
43,Habibpur,SUBIN HANSDA,M,29,ST,BMUP,2775,5,2780,223084,184369
43,Habibpur,MANDAL SOREN,M,28,ST,IND,2757,0,2757,223084,184369
43,Habibpur,LAKSHIRAM BASKE,M,38,ST,SP,2509,1,2510,223084,184369
43,Habibpur,PRADEEP MURMU,M,39,ST,BSP,1565,2,1567,223084,184369
43,Habibpur,SHIBANANDA SAREN,M,46,ST,SUCI,747,1,748,223084,184369
44,Gazole,DIPALI BISWAS,F,45,SC,CPM,85432,517,85949,233833,198327
44,Gazole,SUSHIL CHANDRA ROY,M,49,SC,AITC,65078,269,65347,233833,198327
44,Gazole,SUDHANGSU SARKAR,M,42,SC,BJP,28700,68,28768,233833,198327
44,Gazole,SAGAR CHANDRA SARKAR,M,41,SC,SP,4313,0,4313,233833,198327
44,Gazole,None of the Above,NOTA,3485,5,3490,233833,198327
44,Gazole,DHANANJOY SARKAR,M,27,SC,JDP,2803,0,2803,233833,198327
44,Gazole,RINTU BISWAS,M,35,SC,JMM,1526,0,1526,233833,198327
44,Gazole,ASHOK KUMAR SARKAR,M,37,SC,KPPU,1513,0,1513,233833,198327
44,Gazole,BIDYUT BISWAS,M,38,SC,BSP,1177,3,1180,233833,198327
44,Gazole,SUBHASH SARKAR,M,32,SC,SUCI,1119,0,1119,233833,198327
44,Gazole,SUBHASH SINGHA,M,33,SC,CPI(ML)(L),893,0,893,233833,198327
44,Gazole,SHYAMAL SARKAR,M,30,SC,IND,794,1,795,233833,198327
44,Gazole,JHARNA BARMAN,F,37,SC,HKRD,631,0,631,233833,198327
45,Chanchal,ASIF MEHBUB,M,34,GEN,INC,92174,416,92590,217595,172154
45,Chanchal,SOUMITRA RAY,M,56,GEN,AITC,40105,117,40222,217595,172154
45,Chanchal,DIPANKAR RAM,M,38,GEN,BJP,33504,97,33601,217595,172154
45,Chanchal,None of the Above,NOTA,2323,3,2326,217595,172154
45,Chanchal,DOLI CHAUDHURY ROY,F,57,GEN,BSP,1896,0,1896,217595,172154
45,Chanchal,KALICHARAN ROY,M,55,SC,SUCI,1516,3,1519,217595,172154
46,Harischandrapur,ALAM MOSTAQUE,M,59,GEN,INC,59838,209,60047,214992,172048
46,Harischandrapur,TAJMUL HOSSAIN,M,58,GEN,AITC,41979,211,42190,214992,172048
46,Harischandrapur,ALAM MD. RAFIQUL,M,44,GEN,AIFB,34816,259,35075,214992,172048
46,Harischandrapur,SANVARLAL KEDIA,M,56,GEN,BJP,25877,12,25889,214992,172048
46,Harischandrapur,EFRAJUL HOQUE,M,39,GEN,BSP,3460,0,3460,214992,172048
46,Harischandrapur,DR. MD. AFSAR ALI,M,45,GEN,SDPI,1869,0,1869,214992,172048
46,Harischandrapur,None of the Above,NOTA,1745,1,1746,214992,172048
46,Harischandrapur,JOGEN HASDA,M,36,ST,JMM,1042,0,1042,214992,172048
46,Harischandrapur,MUSARAF HOSSAIN,M,31,GEN,SUCI,730,0,730,214992,172048
47,Malatipur,ALBERUNI ZULKARNAIN,M,34,GEN,INC,50526,117,50643,195163,156939
47,Malatipur,ABDUR RAHIM BOXI,M,53,GEN,RSP,47838,205,48043,195163,156939
47,Malatipur,DR. MD. MOAZZEM HOSSAIN,M,61,GEN,AITC,39770,177,39947,195163,156939
47,Malatipur,SAUMITRA SARKAR,M,56,GEN,BJP,12924,17,12941,195163,156939
47,Malatipur,None of the Above,NOTA,3306,0,3306,195163,156939
47,Malatipur,CHAITANYA RABIDAS,M,38,SC,BSP,2059,0,2059,195163,156939
48,Ratua,SAMAR MUKHERJEE,M,73,GEN,INC,96015,572,96587,239555,186248
48,Ratua,SHEHNAZ QUADERY,F,63,GEN,AITC,52971,341,53312,239555,186248
48,Ratua,SANJAY KUMAR SAHA,M,36,GEN,BJP,25703,43,25746,239555,186248
48,Ratua,ARAFAT ALI,M,30,GEN,WPOI,4284,6,4290,239555,186248
48,Ratua,None of the Above,NOTA,2177,4,2181,239555,186248
48,Ratua,EMDADUL HAQUE,M,60,GEN,IND,1572,0,1572,239555,186248
48,Ratua,MD KABATULLA,M,31,GEN,BSP,1531,0,1531,239555,186248
48,Ratua,SEKH ALAMIN,M,27,GEN,BMUP,1029,0,1029,239555,186248
49,Manickchak,MD. MOTTAKIN ALAM,M,37,GEN,INC,77975,497,78472,219002,172551
49,Manickchak,SABITRI MITRA,F,53,GEN,AITC,65096,773,65869,219002,172551
49,Manickchak,SIBENDU SEKHAR ROY,M,65,GEN,BJP,20525,24,20549,219002,172551
49,Manickchak,CHANCHALA KARMAKAR,F,45,GEN,BSP,2244,0,2244,219002,172551
49,Manickchak,MD. AMAL KHAN,M,50,GEN,RPI(A),2170,0,2170,219002,172551
49,Manickchak,None of the Above,NOTA,1902,1,1903,219002,172551
49,Manickchak,ASHOK RABIDAS,M,38,SC,IND,1343,1,1344,219002,172551
50,Maldaha,BHUPENDRA NATH HALDER,M,49,SC,INC,87627,616,88243,211279,182484
50,Maldaha,DULAL SARKAR (BABLA),M,53,SC,AITC,54555,379,54934,211279,182484
50,Maldaha,GOPAL CHANDRA SAHA,M,39,SC,BJP,29072,39,29111,211279,182484
50,Maldaha,SWAPAN SARKAR,M,33,SC,JDP,2703,0,2703,211279,182484
50,Maldaha,None of the Above,NOTA,2202,2,2204,211279,182484
50,Maldaha,PAPPU CHANDRA BARMAN,M,27,SC,BMUP,1967,0,1967,211279,182484
50,Maldaha,MADHUMOY SARKAR,M,38,SC,IND,1944,0,1944,211279,182484
50,Maldaha,ANIRBAN SARKAR,M,34,SC,BSP,1378,0,1378,211279,182484
51,Englishbazar,NIHAR RANJAN GHOSH,M,61,GEN,IND,105456,1727,107183,246790,207238
51,Englishbazar,KRISHNENDU NARAYAN CHOUDHURY,M,58,GEN,AITC,66645,811,67456,246790,207238
51,Englishbazar,SUMAN BANERJEE,M,39,GEN,BJP,23090,81,23171,246790,207238
51,Englishbazar,None of the Above,NOTA,4331,5,4336,246790,207238
51,Englishbazar,NIHAR GHOSH,M,38,GEN,IND,2291,2,2293,246790,207238
51,Englishbazar,NITISH KUMAR MANDAL,M,51,SC,BSP,1393,0,1393,246790,207238
51,Englishbazar,SHYAM SUNDAR SHARMA,M,58,GEN,SP,878,0,878,246790,207238
51,Englishbazar,SADHAN CHATTERJEE,M,64,GEN,HKRD,528,0,528,246790,207238
52,Mothabari,YEASMIN SABINA,F,38,GEN,INC,68525,564,69089,166513,133423
52,Mothabari,MD. NAJRUL ISLAM,M,36,GEN,AITC,30791,124,30915,166513,133423
52,Mothabari,SHYAM CHAND GHOSH,M,59,GEN,BJP,27264,45,27309,166513,133423
52,Mothabari,None of the Above,NOTA,1859,0,1859,166513,133423
52,Mothabari,DINESH KUMAR JAJU,M,43,GEN,BSP,1123,0,1123,166513,133423
52,Mothabari,ANHARUL HAQUE,M,40,GEN,IND,1061,0,1061,166513,133423
52,Mothabari,PREM KUMAR GHOSH,M,27,GEN,SHS,905,0,905,166513,133423
52,Mothabari,SHYAMA PADA SAHA,M,59,SC,IND,584,0,584,166513,133423
52,Mothabari,SAIYAD SAMSER,M,57,GEN,HKRD,578,0,578,166513,133423
53,Sujapur,ISHA KHAN CHOUDHURY,M,44,GEN,INC,97019,313,97332,210287,166496
53,Sujapur,ABU NASAR KHAN CHOUDHURY,M,81,GEN,AITC,50160,92,50252,210287,166496
53,Sujapur,NANDAN KUMAR GHOSH,M,43,GEN,BJP,10376,17,10393,210287,166496
53,Sujapur,None of the Above,NOTA,2541,1,2542,210287,166496
53,Sujapur,SEKH WASED ALI,M,46,GEN,IND,1642,0,1642,210287,166496
53,Sujapur,SADHAN CHATTERJEE,M,65,GEN,IND,734,0,734,210287,166496
53,Sujapur,MD. RAJIUL ISLAM,M,35,GEN,IND,633,0,633,210287,166496
53,Sujapur,MD. GUL HASAN,M,43,GEN,JESM,516,3,519,210287,166496
53,Sujapur,MD. TOUHID SK,M,39,GEN,IND,473,0,473,210287,166496
53,Sujapur,NASMUL HOQUE,M,36,GEN,PDS,433,0,433,210287,166496
53,Sujapur,PULAK GUPTA,M,41,GEN,BSP,427,0,427,210287,166496
53,Sujapur,MANJUR ALAHI MUNSHI,M,51,GEN,IND,290,1,291,210287,166496
53,Sujapur,MD. SARIFUL ALAM,M,30,GEN,IND,247,0,247,210287,166496
53,Sujapur,MD.MUNNA KHAN,M,32,GEN,IND,216,0,216,210287,166496
53,Sujapur,PANKAJ RISHI,M,36,GEN,JMM,210,0,210,210287,166496
53,Sujapur,ABDUL KARIM,M,41,GEN,BMUP,152,0,152,210287,166496
54,Baishnabnagar,SWADHIN KUMAR SARKAR,M,57,GEN,BJP,70011,174,70185,211923,183722
54,Baishnabnagar,AZIZUL HAQUE,M,56,GEN,INC,65329,359,65688,211923,183722
54,Baishnabnagar,ASIT BOSE,M,68,GEN,AITC,40218,44,40262,211923,183722
54,Baishnabnagar,None of the Above,NOTA,2520,0,2520,211923,183722
54,Baishnabnagar,DHANESHYAM DAS,M,31,GEN,SHS,1528,0,1528,211923,183722
54,Baishnabnagar,NIKHIL CHANDRA MONDAL,M,47,SC,BSP,1525,0,1525,211923,183722
54,Baishnabnagar,SURESH CH. SARKAR,M,55,SC,IND,1301,0,1301,211923,183722
54,Baishnabnagar,MD. EBRAHIM SK.,M,52,GEN,CPI(ML)(L),713,0,713,211923,183722
55,Farakka,MAINUL HAQUE,M,53,GEN,INC,82744,570,83314,192011,163198
55,Farakka,MD. MUSTAFA,M,60,GEN,AITC,55043,104,55147,192011,163198
55,Farakka,INDRANATH UPADHYAY,M,33,GEN,BJP,15942,10,15952,192011,163198
55,Farakka,DR. REJAUL KARIM,M,43,GEN,WPOI,4020,2,4022,192011,163198
55,Farakka,ALAM KHAIRUL,M,55,GEN,BSP,1909,0,1909,192011,163198
55,Farakka,None of the Above,NOTA,1838,2,1840,192011,163198
55,Farakka,MIR MAINUL HAQUE,M,63,GEN,IND,1014,0,1014,192011,163198
56,Samserganj,AMIRUL ISLAM,M,44,GEN,AITC,48271,110,48381,194128,158988
56,Samserganj,TOUAB ALI,M,60,GEN,CPM,46408,193,46601,194128,158988
56,Samserganj,MD. REJAUL HOQUE(MANTU BISWAS),M,39,GEN,IND,42306,83,42389,194128,158988
56,Samserganj,MILAN GHOSH,M,45,GEN,BJP,11391,6,11397,194128,158988
56,Samserganj,None of the Above,NOTA,3289,1,3290,194128,158988
56,Samserganj,DR. AFFAN ALI,M,39,GEN,SDPI,2417,1,2418,194128,158988
56,Samserganj,MD. EAMEN ALI,M,49,GEN,IND,1742,0,1742,194128,158988
56,Samserganj,TIPU SULTAN,M,62,GEN,SUCI,1731,0,1731,194128,158988
56,Samserganj,SATRUGHNA RABI DAS,M,55,SC,BSP,1039,0,1039,194128,158988
57,Suti,HUMAYUN REZA,M,67,GEN,INC,83820,197,84017,221740,188222
57,Suti,EMANI BISWAS,M,41,GEN,AITC,79825,242,80067,221740,188222
57,Suti,SAMRAT GHOSH,M,31,GEN,BJP,13045,6,13051,221740,188222
57,Suti,NEZAMUDDIN,M,70,GEN,RSP,3984,7,3991,221740,188222
57,Suti,MAHFUJUR RAHAMAN,M,32,GEN,WPOI,2587,1,2588,221740,188222
57,Suti,None of the Above,NOTA,2401,0,2401,221740,188222
57,Suti,SAMIRUDDIN,M,46,GEN,SUCI,1378,3,1381,221740,188222
57,Suti,BADIRUL ISLAM,M,38,GEN,IND,726,0,726,221740,188222
58,Jangipur,JAKIR HOSSAIN,M,43,GEN,AITC,66649,220,66869,214445,179588
58,Jangipur,SOMNATH SINGHA RAY,M,49,GEN,CPM,45909,327,46236,214445,179588
58,Jangipur,MD. SOHRAB,M,83,GEN,INC,34774,89,34863,214445,179588
58,Jangipur,SUDHAN KUMAR DAS,M,54,GEN,BJP,23213,27,23240,214445,179588
58,Jangipur,None of the Above,NOTA,2851,2,2853,214445,179588
58,Jangipur,M. A. HANNAN,M,57,GEN,WPOI,1505,1,1506,214445,179588
58,Jangipur,MIRZA NASHIRUDDIN,M,59,GEN,SUCI,946,2,948,214445,179588
58,Jangipur,RUKUMUDDIN SK,M,38,GEN,IND,932,0,932,214445,179588
58,Jangipur,MOSTAFA SK,M,43,GEN,IND,678,1,679,214445,179588
58,Jangipur,MD SAIFUDDIN SAIKH,M,54,GEN,SP,672,0,672,214445,179588
58,Jangipur,MD. MASUDUL HOQUE,M,34,GEN,IND,490,0,490,214445,179588
58,Jangipur,KHOKAN SARKAR,M,46,GEN,IND,300,0,300,214445,179588
59,Raghunathganj,AKHRUZZAMAN,M,51,GEN,INC,78306,191,78497,207987,166082
59,Raghunathganj,ABUL KASEM MOLLA,M,66,GEN,AITC,54646,65,54711,207987,166082
59,Raghunathganj,ABUL HASNAT,M,55,GEN,RSP,16468,6,16474,207987,166082
59,Raghunathganj,GOLAM MODASHBAR,M,36,GEN,BJP,10069,4,10073,207987,166082
59,Raghunathganj,MOJIBUR RAHAMAN,M,41,GEN,SDPI,2452,2,2454,207987,166082
59,Raghunathganj,None of the Above,NOTA,2393,3,2396,207987,166082
59,Raghunathganj,RABIUL ALAM,M,44,GEN,SUCI,1475,2,1477,207987,166082
60,Sagardighi,SUBRATA SAHA,M,63,GEN,AITC,44724,93,44817,206049,170865
60,Sagardighi,AMINUL ISLAM,M,46,GEN,INC,39477,126,39603,206049,170865
60,Sagardighi,RAJAB ALI MALLICK,M,54,GEN,CPM,39156,229,39385,206049,170865
60,Sagardighi,SAMSUL HODA,M,64,GEN,IND,31806,114,31920,206049,170865
60,Sagardighi,DEBSHARAN GHOSH,M,44,GEN,BJP,7343,15,7358,206049,170865
60,Sagardighi,BADRUL SK,M,53,GEN,SDPI,2719,6,2725,206049,170865
60,Sagardighi,None of the Above,NOTA,1968,1,1969,206049,170865
60,Sagardighi,KANIKA CHAKROBORTY (DAS),F,39,GEN,IND,1672,0,1672,206049,170865
60,Sagardighi,MIRZA LUTFUL HOQUE,M,40,GEN,SUCI,1416,0,1416,206049,170865
61,Lalgola,ABU HENA,M,66,GEN,INC,99740,370,100110,199397,165312
61,Lalgola,CHAND MOHAMMAD,M,53,GEN,AITC,46556,79,46635,199397,165312
61,Lalgola,AMAR KUMAR DAS,M,39,SC,BJP,9929,9,9938,199397,165312
61,Lalgola,MD. SAHABUDDIN,M,56,GEN,SDPI,3641,3,3644,199397,165312
61,Lalgola,None of the Above,NOTA,1958,1,1959,199397,165312
61,Lalgola,BHARAT BISWAS,M,56,SC,BSP,1563,0,1563,199397,165312
61,Lalgola,PRASANTA SARKAR,M,42,SC,SP,1463,0,1463,199397,165312
62,Bhagawangola,MAHASIN ALI,M,59,GEN,CPM,104788,249,105037,224616,193122
62,Bhagawangola,ABU SUFIAN SARKAR,M,57,GEN,AITC,68598,134,68732,224616,193122
62,Bhagawangola,MEHEBUB ALAM,M,36,GEN,BJP,5278,0,5278,224616,193122
62,Bhagawangola,SYED IMRAN ALI MEERZA,M,41,GEN,IND,3457,0,3457,224616,193122
62,Bhagawangola,HAJIKUL ALAM,M,41,GEN,SP,3227,1,3228,224616,193122
62,Bhagawangola,None of the Above,NOTA,2553,1,2554,224616,193122
62,Bhagawangola,KAMAL PASHA,M,56,GEN,IUML,1855,0,1855,224616,193122
62,Bhagawangola,RUHUL AMIN,M,58,GEN,SUCI,1037,2,1039,224616,193122
62,Bhagawangola,ASADUZZAMAN,M,26,GEN,MPOI,761,2,763,224616,193122
62,Bhagawangola,ABDUL MATIN,M,41,GEN,IND,669,0,669,224616,193122
62,Bhagawangola,ANJU BEGAM,F,52,GEN,IND,510,0,510,224616,193122
63,Raninagar,FIROZA BEGAM (E),F,47,GEN,INC,110754,378,111132,223995,190082
63,Raninagar,DR. HUMAYUN KABIR,M,51,GEN,AITC,62637,113,62750,223995,190082
63,Raninagar,BASU BASAK,M,43,GEN,BJP,9680,13,9693,223995,190082
63,Raninagar,GOLAM MOSTAFA MONDAL,M,52,GEN,WPOI,2432,9,2441,223995,190082
63,Raninagar,None of the Above,NOTA,1710,5,1715,223995,190082
63,Raninagar,MANIRUL ISLAM,M,46,GEN,SUCI,1402,3,1405,223995,190082
63,Raninagar,MD. YEARUL ISLAM,M,45,GEN,IND,946,0,946,223995,190082
64,Murshidabad,SHAONI SINGHA ROY,F,42,GEN,INC,94131,448,94579,235052,201150
64,Murshidabad,ASHIM KRISHNA BHATTA,M,44,GEN,AITC,69256,184,69440,235052,201150
64,Murshidabad,GOURI SANKAR GHOSH,M,44,GEN,BJP,23998,33,24031,235052,201150
64,Murshidabad,BIVAS CHAKRABORTY,M,49,GEN,AIFB,5040,26,5066,235052,201150
64,Murshidabad,None of the Above,NOTA,2960,6,2966,235052,201150
64,Murshidabad,MILIA SAJEM,F,34,GEN,SUCI,1665,4,1669,235052,201150
64,Murshidabad,SUMIT DAS,M,27,SC,IND,1190,0,1190,235052,201150
64,Murshidabad,DHANANJAY BANERJEE,M,41,GEN,BSP,1028,0,1028,235052,201150
64,Murshidabad,MD MOSARAF HOSSAIN,M,25,GEN,LJP,603,0,603,235052,201150
64,Murshidabad,MD JALALUDDIN MONDAL,M,56,GEN,IND,578,0,578,235052,201150
65,Nabagram,KANAI CHANDRA MONDAL,M,61,SC,CPM,99019,526,99545,222785,181705
65,Nabagram,DILIP SAHA,M,54,SC,AITC,60953,149,61102,222785,181705
65,Nabagram,SUSANTA MARJIT,M,46,SC,BJP,13072,12,13084,222785,181705
65,Nabagram,None of the Above,NOTA,3224,3,3227,222785,181705
65,Nabagram,RADHA MADHAB MANDAL,M,36,SC,SP,2372,0,2372,222785,181705
65,Nabagram,AMIT MEHENA,M,25,SC,WPOI,1231,1,1232,222785,181705
65,Nabagram,BARUN MANDAL,M,48,SC,SUCI,1139,4,1143,222785,181705
66,Khargram,ASHIS MARJIT,M,43,SC,INC,88462,451,88913,204103,161860
66,Khargram,MADHAB CHANDRA MARJIT,M,54,SC,AITC,55542,198,55740,204103,161860
66,Khargram,SUMANTA MONDAL,M,35,SC,BJP,8990,14,9004,204103,161860
66,Khargram,SWAPAN DAS,M,41,SC,WPOI,2438,1,2439,204103,161860
66,Khargram,None of the Above,NOTA,1868,2,1870,204103,161860
66,Khargram,HEMANTA MONDAL,M,34,SC,IND,1323,0,1323,204103,161860
66,Khargram,SANDIP RAJAK,M,26,SC,SP,936,0,936,204103,161860
66,Khargram,SADHAN KUMAR MARJIT,M,53,SC,CPI(ML)(L),885,0,885,204103,161860
66,Khargram,ANANTA MONDAL,M,51,SC,SHS,749,1,750,204103,161860
67,Burwan,PROTIMA RAJAK,F,38,SC,INC,55714,192,55906,194415,151550
67,Burwan,SHASTHI CHARAN MAL,M,66,SC,AITC,40806,98,40904,194415,151550
67,Burwan,BINOY SARKAR,M,61,SC,RSP,32913,127,33040,194415,151550
67,Burwan,AMIYA KUMAR DAS,M,33,SC,BJP,15419,21,15440,194415,151550
67,Burwan,None of the Above,NOTA,3290,0,3290,194415,151550
67,Burwan,RANJIT DAS,M,37,SC,SP,1876,0,1876,194415,151550
67,Burwan,JATA SANKAR THANDAR,M,64,SC,IND,1094,0,1094,194415,151550
68,Kandi,APURBA SARKAR (DAVID),M,52,GEN,INC,81108,615,81723,208187,159553
68,Kandi,DR. SANTANU SEN,M,44,GEN,AITC,60575,368,60943,208187,159553
68,Kandi,BINAY BHUSAN DAS,M,63,GEN,BJP,9291,26,9317,208187,159553
68,Kandi,None of the Above,NOTA,2458,6,2464,208187,159553
68,Kandi,GOKUL HAZRA,M,61,GEN,IND,1541,3,1544,208187,159553
68,Kandi,SANDIP ROYCHOWDHURY,M,39,GEN,IND,1183,0,1183,208187,159553
68,Kandi,MAJIBUR RAHAMAN SHAIKH,M,38,GEN,IUML,1107,0,1107,208187,159553
68,Kandi,SUJAY MONDAL,M,27,GEN,MPOI,531,0,531,208187,159553
68,Kandi,SUKHEN HALDAR,M,37,SC,SUCI,397,0,397,208187,159553
68,Kandi,MANIRUL ISLAM,M,47,GEN,CPI(ML)(L),344,0,344,208187,159553
69,Bharatpur,KAMALESH CHATTERJEE (GOPAL),M,40,GEN,INC,59626,163,59789,215850,165263
69,Bharatpur,KHADEM A DASTEGIR (KHADU),M,58,GEN,AITC,48600,172,48772,215850,165263
69,Bharatpur,ID MOHAMMAD,M,64,GEN,RSP,39744,205,39949,215850,165263
69,Bharatpur,IMAN KALYAN MUKHERJE,M,34,GEN,BJP,10049,15,10064,215850,165263
69,Bharatpur,None of the Above,NOTA,3834,3,3837,215850,165263
69,Bharatpur,HUMAYUN KABIR,M,49,GEN,SP,1497,0,1497,215850,165263
69,Bharatpur,BADAN GHOSH,M,59,GEN,AMB,1355,0,1355,215850,165263
70,Rejinagar,RABIUL ALAM CHOWDHURY,M,56,GEN,INC,79483,287,79770,224848,184993
70,Rejinagar,HUMAYUN KABIR,M,53,GEN,IND,74092,118,74210,224848,184993
70,Rejinagar,BEGUM SIDDIKA,F,54,GEN,AITC,14618,13,14631,224848,184993
70,Rejinagar,BANKIM KARMAKAR,M,62,GEN,BJP,10753,18,10771,224848,184993
70,Rejinagar,None of the Above,NOTA,2150,0,2150,224848,184993
70,Rejinagar,BABAR ALI,M,53,GEN,SUCI,1392,0,1392,224848,184993
70,Rejinagar,RABIUL ISLAM SEKH,M,46,GEN,BSP,1374,0,1374,224848,184993
70,Rejinagar,ABDUS SUKUR,M,71,GEN,IUML,695,0,695,224848,184993
71,Beldanga,SEIKH SAFIUJJAMAN,M,57,GEN,INC,86637,380,87017,219501,176050
71,Beldanga,GOLAM KIBRIA MIA,M,73,GEN,AITC,56624,112,56736,219501,176050
71,Beldanga,ALOK GHOSH,M,64,GEN,BJP,25596,55,25651,219501,176050
71,Beldanga,ITTEFA HOSSAIN,M,42,GEN,IUML,2860,5,2865,219501,176050
71,Beldanga,None of the Above,NOTA,2223,6,2229,219501,176050
71,Beldanga,MARJINA KHATUN,F,40,GEN,SP,1551,1,1552,219501,176050
72,Baharampur,MANOJ CHAKRABORTY,M,62,GEN,INC,126452,1310,127762,236629,188187
72,Baharampur,DR. SUJATA BANERJEE,F,46,GEN,AITC,35264,225,35489,236629,188187
72,Baharampur,MALA BHATTACHARYA,F,66,GEN,BJP,18716,89,18805,236629,188187
72,Baharampur,None of the Above,NOTA,3511,12,3523,236629,188187
72,Baharampur,KOUSIK CHATTERJEE,M,50,GEN,SUCI,1715,12,1727,236629,188187
72,Baharampur,SUJIT KUMAR DAS,M,48,SC,IND,881,0,881,236629,188187
73,Hariharpara,NIAMOT SHEIKH,M,65,GEN,AITC,71358,144,71502,218299,189291
73,Hariharpara,ALAMGIR MIR (PALASH),M,45,GEN,INC,66271,228,66499,218299,189291
73,Hariharpara,INSAR ALI BISWAS,M,54,GEN,CPM,38914,143,39057,218299,189291
73,Hariharpara,TULSI PRASAD SUKUL,M,56,GEN,BJP,5385,9,5394,218299,189291
73,Hariharpara,GOLAM MOSTAFA,M,54,GEN,SUCI,2796,8,2804,218299,189291
73,Hariharpara,ASGAR ALI SEIKH,M,48,GEN,IUML,1382,0,1382,218299,189291
73,Hariharpara,None of the Above,NOTA,1159,0,1159,218299,189291
73,Hariharpara,MD MURTAJ ALI,M,38,GEN,MPOI,720,0,720,218299,189291
73,Hariharpara,NURUL AMIN SK,M,55,GEN,IND,520,0,520,218299,189291
73,Hariharpara,AALAMGIR ALI MONDAL,M,41,GEN,IND,254,0,254,218299,189291
74,Nowda,ABU TAHER KHAN,M,54,GEN,INC,62425,214,62639,218399,181756
74,Nowda,MASUD KARIM,M,36,GEN,AITC,43297,80,43377,218399,181756
74,Nowda,ABDUL BARI MOLLA,M,58,GEN,RSP,42812,201,43013,218399,181756
74,Nowda,SAJAL BHAUMIK,M,36,GEN,BJP,25850,24,25874,218399,181756
74,Nowda,None of the Above,NOTA,3825,5,3830,218399,181756
74,Nowda,ABUTALEB HOSSAIN,M,42,GEN,SDPI,1675,1,1676,218399,181756
74,Nowda,HELALUL ISLAM KHANDAKAR,M,61,GEN,SUCI,788,1,789,218399,181756
74,Nowda,KHURSHID ALAM MALITYA,M,29,GEN,IND,558,0,558,218399,181756
75,Domkal,ANISUR RAHAMAN,M,66,GEN,CPM,71250,453,71703,233841,195962
75,Domkal,SOUMIK HOSSAIN,M,33,GEN,AITC,64586,227,64813,233841,195962
75,Domkal,ABDUR RAHAMAN SEKH,M,46,GEN,INC,46198,96,46294,233841,195962
75,Domkal,NANDA DULAL PAL,M,44,GEN,BJP,4647,5,4652,233841,195962
75,Domkal,ABDUR RAHAMAN MANDAL,M,52,GEN,IND,1756,0,1756,233841,195962
75,Domkal,None of the Above,NOTA,1578,2,1580,233841,195962
75,Domkal,JAKIR HOSSAIN SEKH,M,48,GEN,IUML,1178,0,1178,233841,195962
75,Domkal,SYED GOLAM GAUS,M,65,GEN,WPOI,971,19,990,233841,195962
75,Domkal,DR NAZRUL ISLAM,M,62,GEN,MPOI,856,1,857,233841,195962
75,Domkal,BUDDHADEV DAS,M,39,SC,IND,769,0,769,233841,195962
75,Domkal,NUJRUL ISLAM,M,44,GEN,IND,627,0,627,233841,195962
