ac_no,ac_name,STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
10,Detailed Results,West Bengal,54,Baisnabnagar,4 NIKHIL CHANDRA MANDAL,MALE,51,SC,BSP,Elephant,2280,2,2282,1.09,246956
10,Detailed Results,West Bengal,54,Baisnabnagar,5 NOTA,NOTA,NOTA,1704,1,1705,0.82,246956,,,
10,Detailed Results,West Bengal,54,Baisnabnagar,6 HARENDRANATH SARKAR,MALE,66,SC,IND,Apple,1344,2,1346,0.65,246956
10,Detailed Results,West Bengal,54,Baisnabnagar,7 KURBAN ANSARI,MALE,39,GENERAL,IND,Battery torch,1247,0,1247,0.6,246956
10,Detailed Results,West Bengal,54,Baisnabnagar,8 SAMIR GHOSH,MALE,42,GENERAL,IND,Nagrik,978,0,978,0.47,246956
10,Detailed Results,TURN OUT,,,,TOTAL:,207441,1211,208652,84.49,,,,,
10,Detailed Results,West Bengal,55,Farakka,1 MANIRUL ISLAM,MALE,45,GENERAL,AITC,Flowers and Grass,102039,280,102319,54.89,227549
10,Detailed Results,West Bengal,55,Farakka,2 GHOSH HEMANTA,MALE,55,GENERAL,BJP,Lotus,42173,201,42374,22.73,227549
10,Detailed Results,West Bengal,55,Farakka,3 MAINUL HAQUE,MALE,59,GENERAL,INC,Hand,35932,273,36205,19.42,227549
10,Detailed Results,West Bengal,55,Farakka,4 ANUP KUMAR SINHA,MALE,56,GENERAL,IND,Letter Box,1646,1,1647,0.88,227549
10,Detailed Results,West Bengal,55,Farakka,5 NOTA,NOTA,NOTA,1638,0,1638,0.88,227549,,,
10,Detailed Results,West Bengal,55,Farakka,6 MD MERAJ SORIF,MALE,30,GENERAL,RSSCMJP,Envelope,1559,0,1559,0.84,227549
10,Detailed Results,West Bengal,55,Farakka,7 KANAI GHOSH,MALE,52,GENERAL,IND,Pineapple,681,1,682,0.37,227549
10,Detailed Results,TURN OUT,,,,TOTAL:,185668,756,186424,81.93,,,,,
10,Detailed Results,West Bengal,56,Samserganj,1 Amirul Islam,MALE,49,GENERAL,AITC,Flowers and Grass,96120,297,96417,51.13,235576
10,Detailed Results,West Bengal,56,Samserganj,2 Zaidur Rahaman,MALE,60,GENERAL,INC,Hand,70009,29,70038,37.14,235576
10,Detailed Results,West Bengal,56,Samserganj,3 Milan Ghosh,MALE,50,GENERAL,BJP,Lotus,10777,23,10800,5.73,235576
10,Detailed Results,West Bengal,56,Samserganj,4 Md. Modassar Hossain,MALE,38,GENERAL,CPI(M),"Hammer, Sickle and Star",6145,13,6158,3.27,235576
10,Detailed Results,West Bengal,56,Samserganj,5 NOTA,NOTA,NOTA,3062,2,3064,1.62,235576,,,
10,Detailed Results,West Bengal,56,Samserganj,6 Saumitra Singh,MALE,34,GENERAL,IND,Bat,845,1,846,0.45,235576
10,Detailed Results,West Bengal,56,Samserganj,7 Md. Alauddin Sk,MALE,27,GENERAL,SDPI,Gas Cylinder,785,2,787,0.42,235576
10,Detailed Results,West Bengal,56,Samserganj,8 Tipu Sultan,MALE,67,GENERAL,SUCI,Battery torch,472,0,472,0.25,235576
10,Detailed Results,TURN OUT,,,,TOTAL:,188215,367,188582,80.05,,,,,
10,Detailed Results,West Bengal,57,Suti,1 EMANI BISWAS,MALE,46,GENERAL,AITC,Flowers and Grass,126755,596,127351,58.87,265418
10,Detailed Results,West Bengal,57,Suti,2 KOUSHIK DAS,MALE,28,GENERAL,BJP,Lotus,56389,261,56650,26.19,265418
10,Detailed Results,West Bengal,57,Suti,3 HUMAYUN REZA,MALE,73,GENERAL,INC,Hand,18668,92,18760,8.67,265418
10,Detailed Results,West Bengal,57,Suti,4 MAIDUL ISLAM,MALE,39,GENERAL,IND,Football,7995,11,8006,3.7,265418
10,Detailed Results,West Bengal,57,Suti,5 NOTA,NOTA,NOTA,2723,1,2724,1.26,265418,,,
10,Detailed Results,West Bengal,57,Suti,6 MD. HASAN JAHANGIR,MALE,56,GENERAL,IND,BENCH,988,0,988,0.46,265418
10,Detailed Results,West Bengal,57,Suti,7 ANUP SINGHA,MALE,46,SC,SUCI,Battery torch,842,9,851,0.39,265418
10,Detailed Results,West Bengal,57,Suti,8 MAHFUJUR RAHAMAN,MALE,37,GENERAL,WPOI,Gas Cylinder,515,1,516,0.24,265418
10,Detailed Results,West Bengal,57,Suti,9 ENAMUL HAQUE,MALE,52,GENERAL,IND,Pineapple,482,0,482,0.22,265418
10,Detailed Results,TURN OUT,,,,TOTAL:,215357,971,216328,81.5,,,,,
10,Detailed Results,West Bengal,58,Jangipur,1 JAKIR HOSSAIN,MALE,48,GENERAL,AITC,Flowers and Grass,136082,362,136444,68.82,255064
10,Detailed Results,West Bengal,58,Jangipur,2 SUJIT DAS,MALE,55,GENERAL,BJP,Lotus,43850,114,43964,22.17,255064
10,Detailed Results,West Bengal,58,Jangipur,3 JANE ALAM MIAN,MALE,68,GENERAL,RSP,Spade & Stoker,9020,47,9067,4.57,255064
10,Detailed Results,West Bengal,58,Jangipur,4 NOTA,NOTA,NOTA,4551,6,4557,2.3,255064,,,
10,Detailed Results,West Bengal,58,Jangipur,5 SWARAJIT SARKAR,MALE,54,GENERAL,IND,Football,1250,1,1251,0.63,255064
10,Detailed Results,West Bengal,58,Jangipur,6 MIRZA NASHIRUDDIN,MALE,64,GENERAL,SUCI,Bat,940,1,941,0.47,255064
10,Detailed Results,West Bengal,58,Jangipur,7 GOUTAM KUMAR DAS,MALE,51,GENERAL,IND,Table,753,0,753,0.38,255064
10,Detailed Results,West Bengal,58,Jangipur,8 ABU SALEM,MALE,28,GENERAL,JSTDVPMTP,Battery torch,691,2,693,0.35,255064
10,Detailed Results,West Bengal,58,Jangipur,9 KHOKAN SARKAR,MALE,52,GENERAL,IND,Almirah,332,0,332,0.17,255064
10,Detailed Results,West Bengal,58,Jangipur,10 MD MAINUL HOQUE,MALE,38,GENERAL,BAHUMP,FLUTE,261,0,261,0.13,255064
10,Detailed Results,TURN OUT,,,,TOTAL:,197730,533,198263,77.73,,,,,
10,Detailed Results,West Bengal,59,RaghunathGanj,1 Akhruzzaman,MALE,56,GENERAL,AITC,Flowers and Grass,126467,367,126834,66.59,249559
10,Detailed Results,West Bengal,59,RaghunathGanj,2 Golam Modaswer,MALE,43,GENERAL,BJP,Lotus,28415,106,28521,14.97,249559
10,Detailed Results,West Bengal,59,RaghunathGanj,3 Nasir Saikh,MALE,43,GENERAL,IND,Scissors,16222,22,16244,8.53,249559
10,Detailed Results,West Bengal,59,RaghunathGanj,4 Abul Kashem Biswas,MALE,54,GENERAL,INC,Hand,12737,62,12799,6.72,249559
10,Detailed Results,West Bengal,59,RaghunathGanj,5 NOTA,NOTA,NOTA,2935,3,2938,1.54,249559,,,
10,Detailed Results,West Bengal,59,RaghunathGanj,6 Md. Jakir Hossain,MALE,39,GENERAL,SDPI,Gas Cylinder,1354,7,1361,0.71,249559
10,Detailed Results,West Bengal,59,RaghunathGanj,7 Rabiul Alam,MALE,46,GENERAL,SUCI,Battery torch,911,2,913,0.48,249559
10,Detailed Results,West Bengal,59,RaghunathGanj,8 M A Hannan,MALE,62,GENERAL,WPOI,Boat with Man and Sail,865,3,868,0.46,249559
10,Detailed Results,TURN OUT,,,,TOTAL:,189906,572,190478,76.33,,,,,
10,Detailed Results,West Bengal,60,Sagardighi,1 SUBRATA SAHA,MALE,71,GENERAL,AITC,Flowers and Grass,94880,309,95189,50.95,236885
10,Detailed Results,West Bengal,60,Sagardighi,2 KHATUN MAFUJA,FEMALE,50,GENERAL,BJP,Lotus,44692,291,44983,24.08,236885
10,Detailed Results,West Bengal,60,Sagardighi,3 SK M HASANUZZAMAN (BAPPA),MALE,45,GENERAL,INC,Hand,36055,289,36344,19.45,236885
10,Detailed Results,West Bengal,60,Sagardighi,4 NURE MAHABOOB ALAM,MALE,38,GENERAL,AIMIM,Kite,3449,1,3450,1.85,236885
10,Detailed Results,West Bengal,60,Sagardighi,5 NOTA,NOTA,NOTA,1705,0,1705,0.91,236885,,,
10,Detailed Results,West Bengal,60,Sagardighi,6 SUPAL MURMU,MALE,41,ST,BMUP,Cot,1654,2,1656,0.89,236885
10,Detailed Results,West Bengal,60,Sagardighi,7 ABDUT TAWAB,MALE,55,GENERAL,SDPI,Gas Cylinder,1278,2,1280,0.69,236885
10,Detailed Results,West Bengal,60,Sagardighi,8 DHANANJAY BANERJEE,MALE,46,GENERAL,BSP,Elephant,978,3,981,0.53,236885
10,Detailed Results,West Bengal,60,Sagardighi,9 MIRZA LUTFUL HOQUE,MALE,44,GENERAL,SUCI,Battery torch,694,4,698,0.37,236885
10,Detailed Results,West Bengal,60,Sagardighi,10 SANTA BHATTACHERJEE,FEMALE,45,GENERAL,IND,Bat,527,3,530,0.28,236885
10,Detailed Results,TURN OUT,,,,TOTAL:,185912,904,186816,78.86,,,,,
10,Detailed Results,West Bengal,61,Lalgola,1 ALI MOHAMMAD,MALE,57,GENERAL,AITC,Flowers and Grass,107703,157,107860,56.64,234381
10,Detailed Results,West Bengal,61,Lalgola,2 ABU HENA,MALE,71,GENERAL,INC,Hand,46891,262,47153,24.76,234381
10,Detailed Results,West Bengal,61,Lalgola,3 KALPANA GHOSH,FEMALE,63,GENERAL,BJP,Lotus,29340,124,29464,15.47,234381
10,Detailed Results,West Bengal,61,Lalgola,4 ABHIJIT HALDAR,MALE,36,SC,IND,Water Melon,1691,0,1691,0.89,234381
10,Detailed Results,West Bengal,61,Lalgola,5 NOTA,NOTA,NOTA,1391,3,1394,0.73,234381,,,
10,Detailed Results,West Bengal,61,Lalgola,6 NAJIMA KAYAL,FEMALE,50,GENERAL,SDPI,Gas Cylinder,953,1,954,0.5,234381
10,Detailed Results,West Bengal,61,Lalgola,7 BHARAT CHANDRA BISWAS,MALE,66,SC,BSP,Elephant,850,2,852,0.45,234381
10,Detailed Results,West Bengal,61,Lalgola,8 MUNTASIR ZAMIL,MALE,54,GENERAL,SUCI,Battery torch,652,1,653,0.34,234381
10,Detailed Results,West Bengal,61,Lalgola,9 KAKALI DEBNATH,FEMALE,38,GENERAL,LJP,Bungalow,417,0,417,0.22,234381
10,Detailed Results,TURN OUT,,,,TOTAL:,189888,550,190438,81.25,,,,,
10,Detailed Results,West Bengal,62,Bhagawangola,1 IDRIS ALI,MALE,70,GENERAL,AITC,Flowers and Grass,153430,365,153795,68.05,263765
10,Detailed Results,West Bengal,62,Bhagawangola,2 MD. KAMAL HOSSAIN,MALE,45,GENERAL,CPI(M),"Hammer, Sickle and Star",47512,275,47787,21.15,263765
10,Detailed Results,West Bengal,62,Bhagawangola,3 Mehebub Alam,MALE,41,GENERAL,BJP,Lotus,16652,55,16707,7.39,263765
10,Detailed Results,West Bengal,62,Bhagawangola,4 NOTA,NOTA,NOTA,3392,4,3396,1.5,263765,,,
10,Detailed Results,West Bengal,62,Bhagawangola,5 MD. MOSARAF HOSSAIN,MALE,27,GENERAL,IND,Gas Cylinder,827,0,827,0.37,263765
10,Detailed Results,West Bengal,62,Bhagawangola,6 SEIKH RABIUL ALAM,MALE,48,GENERAL,BSP,Elephant,783,1,784,0.35,263765
10,Detailed Results,West Bengal,62,Bhagawangola,7 SYED IMRAN ALI MEERZA,MALE,47,GENERAL,IND,Computer Mouse,652,0,652,0.29,263765
10,Detailed Results,West Bengal,62,Bhagawangola,8 REJAUL KARIM SK,MALE,59,GENERAL,IUML,Ladder,614,3,617,0.27,263765
10,Detailed Results,West Bengal,62,Bhagawangola,9 ABDUL MABUD NAYAN,MALE,40,GENERAL,SUCI,Battery torch,447,2,449,0.2,263765
10,Detailed Results,West Bengal,62,Bhagawangola,10 MST. SIKHA KHATUN,FEMALE,34,GENERAL,BAHUMP,Whistle,421,0,421,0.19,263765
10,Detailed Results,West Bengal,62,Bhagawangola,11 MD. NURUL ISLAM,MALE,55,GENERAL,IND,BISCUIT,289,1,290,0.13,263765
10,Detailed Results,West Bengal,62,Bhagawangola,12 ALI HOSSAIN,MALE,32,GENERAL,UTSAP,Boat with Man and Sail,265,0,265,0.12,263765
10,Detailed Results,TURN OUT,,,,TOTAL:,225284,706,225990,85.68,,,,,
10,Detailed Results,West Bengal,63,Raninagar,1 ABDUL SOUMIK HOSSAIN,MALE,38,GENERAL,AITC,Flowers and Grass,134346,611,134957,60.79,256101
10,Detailed Results,West Bengal,63,Raninagar,2 FIROZA BEGAM,FEMALE,52,GENERAL,INC,Hand,54918,337,55255,24.89,256101
10,Detailed Results,West Bengal,63,Raninagar,3 MST MASUARA KHATUN,FEMALE,51,GENERAL,BJP,Lotus,21010,128,21138,9.52,256101
10,Detailed Results,West Bengal,63,Raninagar,4 NOTA,NOTA,NOTA,2769,5,2774,1.25,256101,,,
10,Detailed Results,West Bengal,63,Raninagar,5 GOLAM MASUM REJA,MALE,35,GENERAL,RSSCMJP,Envelope,2752,2,2754,1.24,256101
10,Detailed Results,West Bengal,63,Raninagar,6 MD SAHER ALAM,MALE,43,GENERAL,SDPI,Gas Cylinder,1385,8,1393,0.63,256101
10,Detailed Results,West Bengal,63,Raninagar,7 FIROZA BIBI,FEMALE,43,GENERAL,IND,Scissors,882,2,884,0.4,256101
10,Detailed Results,West Bengal,63,Raninagar,8 HASIBUL ISLAM,MALE,38,GENERAL,IND,Bat,827,1,828,0.37,256101
10,Detailed Results,West Bengal,63,Raninagar,9 RULIYA PARVIN,FEMALE,38,GENERAL,BSP,Elephant,584,3,587,0.26,256101
10,Detailed Results,West Bengal,63,Raninagar,10 NASRIN NAHER LUCY,FEMALE,35,GENERAL,SUCI,Battery torch,497,4,501,0.23,256101
10,Detailed Results,West Bengal,63,Raninagar,11 SAFIUR RAHAMAN MANDAL,MALE,38,GENERAL,IND,BUCKET,496,0,496,0.22,256101
10,Detailed Results,West Bengal,63,Raninagar,12 ABDUL HAI,MALE,30,GENERAL,BAHUMP,School Bag,246,1,247,0.11,256101
10,Detailed Results,West Bengal,63,Raninagar,13 SAIRA BIBI,FEMALE,45,GENERAL,UTSAP,Boat with Man and Sail,198,4,202,0.09,256101
10,Detailed Results,TURN OUT,,,,TOTAL:,220910,1106,222016,86.69,,,,,
10,Detailed Results,West Bengal,64,Murshidabad,1 GOURI SANKAR GHOSH,MALE,48,GENERAL,BJP,Lotus,95330,637,95967,41.86,268221
10,Detailed Results,West Bengal,64,Murshidabad,2 SHAONI SINGHA ROY,FEMALE,48,GENERAL,AITC,Flowers and Grass,93047,429,93476,40.78,268221
10,Detailed Results,West Bengal,64,Murshidabad,3 NEAJUDDIN SK,MALE,43,GENERAL,INC,Hand,28698,137,28835,12.58,268221
10,Detailed Results,West Bengal,64,Murshidabad,4 NOTA,NOTA,NOTA,2897,7,2904,1.27,268221,,,
10,Detailed Results,West Bengal,64,Murshidabad,5 BELLAL SK,MALE,34,GENERAL,IND,Football,2278,0,2278,0.99,268221
10,Detailed Results,West Bengal,64,Murshidabad,6 HABIB SAIKH,MALE,45,GENERAL,RSSCMJP,Envelope,1441,1,1442,0.63,268221
10,Detailed Results,West Bengal,64,Murshidabad,7 MADAN MOHAN MANDAL,MALE,32,SC,BSP,Elephant,1099,0,1099,0.48,268221
10,Detailed Results,West Bengal,64,Murshidabad,8 MILIA SAJEM,FEMALE,39,GENERAL,SUCI,Battery torch,1004,0,1004,0.44,268221
10,Detailed Results,West Bengal,64,Murshidabad,9 GOURI DAS SARKAR,FEMALE,37,GENERAL,IND,Cauliflower,753,0,753,0.33,268221
10,Detailed Results,West Bengal,64,Murshidabad,10 SUBIR GHOSH,MALE,48,GENERAL,IND,Bat,700,0,700,0.31,268221
10,Detailed Results,West Bengal,64,Murshidabad,11 MAHIRAM MURMU,MALE,51,ST,IND,Boat with Man and Sail,535,0,535,0.23,268221
10,Detailed Results,West Bengal,64,Murshidabad,12 SUJAT SK,MALE,33,GENERAL,DSPI,Laptop,238,0,238,0.1,268221
10,Detailed Results,TURN OUT,,,,TOTAL:,228020,1211,229231,85.46,,,,,
10,Detailed Results,West Bengal,65,Nabagram,1 KANAI CHANDRA MONDAL,MALE,67,SC,AITC,Flowers and Grass,99722,733,100455,48.18,251378
10,Detailed Results,West Bengal,65,Nabagram,2 MOHAN HALDER,MALE,39,SC,BJP,Lotus,64485,437,64922,31.14,251378
10,Detailed Results,West Bengal,65,Nabagram,3 KRIPALINI GHOSH,FEMALE,47,SC,CPI(M),"Hammer, Sickle and Star",38926,203,39129,18.77,251378
10,Detailed Results,West Bengal,65,Nabagram,4 NOTA,NOTA,NOTA,2625,4,2629,1.26,251378,,,
10,Detailed Results,West Bengal,65,Nabagram,5 BARUN MANDAL,MALE,53,SC,SUCI,Battery torch,1378,3,1381,0.66,251378
10,Detailed Results,TURN OUT,,,,TOTAL:,207136,1380,208516,82.95,,,,,
10,Detailed Results,West Bengal,66,Khargram,1 ASHIS MARJIT,MALE,48,SC,AITC,Flowers and Grass,92737,518,93255,50.15,228923
10,Detailed Results,West Bengal,66,Khargram,2 ADITYA MOULIK,MALE,38,SC,BJP,Lotus,60281,401,60682,32.64,228923
10,Detailed Results,West Bengal,66,Khargram,3 BIPAD TARAN BAGDI,MALE,48,SC,INC,Hand,27336,87,27423,14.75,228923
10,Detailed Results,West Bengal,66,Khargram,4 NOTA,NOTA,NOTA,1683,2,1685,0.91,228923,,,
10,Detailed Results,West Bengal,66,Khargram,5 TULU BALA DAS,FEMALE,51,SC,CPI(ML)(L),Flag with Three Stars,1509,2,1511,0.81,228923
10,Detailed Results,West Bengal,66,Khargram,6 MANIK KUMAR DAS,MALE,39,SC,JD(U),Arrow,1378,2,1380,0.74,228923
10,Detailed Results,TURN OUT,,,,TOTAL:,184924,1012,185936,81.22,,,,,
10,Detailed Results,West Bengal,67,Burwan,1 JIBAN KRISHNA SAHA,MALE,44,SC,AITC,Flowers and Grass,81320,570,81890,46.32,217500
10,Detailed Results,West Bengal,67,Burwan,2 AMIYA KUMAR DAS,MALE,37,SC,BJP,Lotus,78680,461,79141,44.76,217500
10,Detailed Results,West Bengal,67,Burwan,3 SHILADITYA HALDAR,MALE,43,SC,INC,Hand,12166,94,12260,6.93,217500
10,Detailed Results,West Bengal,67,Burwan,4 NOTA,NOTA,NOTA,2002,6,2008,1.14,217500,,,
10,Detailed Results,West Bengal,67,Burwan,5 NARESH KUMAR DAS,MALE,40,SC,IND,Cauliflower,1501,3,1504,0.85,217500
10,Detailed Results,TURN OUT,,,,TOTAL:,175669,1134,176803,81.29,,,,,
10,Detailed Results,West Bengal,68,Kandi,1 APURBA SARKAR (DAVID),MALE,57,GENERAL,AITC,Flowers and Grass,94594,805,95399,51.16,238973
10,Detailed Results,West Bengal,68,Kandi,2 GOUTAM ROY,MALE,59,GENERAL,BJP,Lotus,56625,694,57319,30.74,238973
10,Detailed Results,West Bengal,68,Kandi,3 SHAFIUL ALAM KHAN (BONU),MALE,63,GENERAL,INC,Hand,27296,259,27555,14.78,238973
10,Detailed Results,West Bengal,68,Kandi,4 NOTA,NOTA,NOTA,3121,10,3131,1.68,238973,,,
10,Detailed Results,West Bengal,68,Kandi,5 SYED AZIZUR HOSSAIN(NASHIM),MALE,44,GENERAL,IND,Football,1767,2,1769,0.95,238973
10,Detailed Results,West Bengal,68,Kandi,6 SUFAL BAGDI,MALE,37,SC,IND,Bat,473,0,473,0.25,238973
10,Detailed Results,West Bengal,68,Kandi,7 SHER ALAM,MALE,31,GENERAL,JSTDVPMTP,Gas Cylinder,357,3,360,0.19,238973
10,Detailed Results,West Bengal,68,Kandi,8 SUKHEN HALDAR,MALE,43,SC,SUCI,Battery torch,262,2,264,0.14,238973
10,Detailed Results,West Bengal,68,Kandi,9 BODON DAS,MALE,40,SC,IND,Mike,210,1,211,0.11,238973
10,Detailed Results,TURN OUT,,,,TOTAL:,184705,1776,186481,78.03,,,,,
10,Detailed Results,West Bengal,69,Bharatpur,1 HUMAYUN KABIR,MALE,61,GENERAL,AITC,Flowers and Grass,95906,320,96226,50.9,243603
10,Detailed Results,West Bengal,69,Bharatpur,2 IMAN KALYAN MUKHERJEE,MALE,38,GENERAL,BJP,Lotus,52809,334,53143,28.11,243603
10,Detailed Results,West Bengal,69,Bharatpur,3 KAMALESH CHATTERJEE (GOPAL),MALE,46,GENERAL,INC,Hand,30013,103,30116,15.93,243603
10,Detailed Results,West Bengal,69,Bharatpur,4 BADAN GHOSH,MALE,64,GENERAL,AMB,Boat with Man and Sail,2581,0,2581,1.37,243603
10,Detailed Results,West Bengal,69,Bharatpur,5 NOTA,NOTA,NOTA,2441,3,2444,1.29,243603,,,
10,Detailed Results,West Bengal,69,Bharatpur,6 SAJJAD HOSSAIN,MALE,31,GENERAL,AIMIM,Kite,2067,9,2076,1.1,243603
10,Detailed Results,West Bengal,69,Bharatpur,7 SHYAMAPADA GHOSH,MALE,56,GENERAL,BSP,Elephant,1445,5,1450,0.77,243603
10,Detailed Results,West Bengal,69,Bharatpur,8 BASUDEB SAHA,MALE,37,GENERAL,IND,Cauliflower,1010,1,1011,0.53,243603
10,Detailed Results,TURN OUT,,,,TOTAL:,188272,775,189047,77.6,,,,,
10,Detailed Results,West Bengal,70,Rejinagar,1 RABIUL ALAM CHOWDHURY,MALE,61,GENERAL,AITC,Flowers and Grass,117625,869,118494,56.31,259771
10,Detailed Results,West Bengal,70,Rejinagar,2 ARABINDA BISWAS,MALE,53,GENERAL,BJP,Lotus,49611,615,50226,23.87,259771
10,Detailed Results,West Bengal,70,Rejinagar,3 KAFIRUDDIN SK,MALE,46,GENERAL,INC,Hand,36988,294,37282,17.72,259771
10,Detailed Results,West Bengal,70,Rejinagar,4 NOTA,NOTA,NOTA,1550,10,1560,0.74,259771,,,
10,Detailed Results,West Bengal,70,Rejinagar,5 Md. Babar Ali,MALE,56,GENERAL,SUCI,Battery Torch,1338,0,1338,0.64,259771
10,Detailed Results,West Bengal,70,Rejinagar,6 MUJIBUR RAHAMAN,MALE,43,GENERAL,IUML,Ladder,1035,4,1039,0.49,259771
10,Detailed Results,West Bengal,70,Rejinagar,7 HASANUR ZAMAN SK,MALE,26,GENERAL,HAMS,Pan,504,2,506,0.24,259771
10,Detailed Results,TURN OUT,,,,TOTAL:,208651,1794,210445,81.01,,,,,
10,Detailed Results,West Bengal,71,Beldanga,1 HASANUZZAMAN SK,MALE,47,GENERAL,AITC,Flowers and Grass,112173,689,112862,55.19,252944
10,Detailed Results,West Bengal,71,Beldanga,2 SUMIT GHOSH,MALE,52,GENERAL,BJP,Lotus,58417,613,59030,28.86,252944
10,Detailed Results,West Bengal,71,Beldanga,3 SAFIUJJAMAN SEIKH,MALE,63,GENERAL,INC,Hand,26742,207,26949,13.18,252944
10,Detailed Results,West Bengal,71,Beldanga,4 KAJAL GHOSH BISWAS,FEMALE,56,GENERAL,IND,COCONUT FARM,1965,3,1968,0.96,252944
10,Detailed Results,West Bengal,71,Beldanga,5 NOTA,NOTA,NOTA,1361,7,1368,0.67,252944,,,
10,Detailed Results,West Bengal,71,Beldanga,6 MD: SAGIR HOSSAIN,MALE,29,GENERAL,DSPI,Football,1173,3,1176,0.58,252944
10,Detailed Results,West Bengal,71,Beldanga,7 MUKTI PADA KONAI,MALE,56,SC,IND,Pendulum,678,2,680,0.33,252944
10,Detailed Results,West Bengal,71,Beldanga,8 SARIFUL ISLAM,MALE,39,GENERAL,SUCI,Battery Torch,472,6,478,0.23,252944
10,Detailed Results,TURN OUT,,,,TOTAL:,202981,1530,204511,80.85,,,,,
10,Detailed Results,West Bengal,72,Baharampur,1 Subrata Maitra (Kanchan),MALE,54,GENERAL,BJP,Lotus,87759,1581,89340,45.21,260667
10,Detailed Results,West Bengal,72,Baharampur,2 Naru Gopal Mukherjee,MALE,41,GENERAL,AITC,Flowers and Grass,61835,653,62488,31.62,260667
10,Detailed Results,West Bengal,72,Baharampur,3 Manoj Chakraborty,MALE,67,GENERAL,INC,Hand,39377,790,40167,20.33,260667
10,Detailed Results,West Bengal,72,Baharampur,4 NOTA,NOTA,NOTA,2504,21,2525,1.28,260667,,,
10,Detailed Results,West Bengal,72,Baharampur,5 Sajal Sen,MALE,46,GENERAL,BSP,Elephant,1081,7,1088,0.55,260667
10,Detailed Results,West Bengal,72,Baharampur,6 Goutam Ghosh (Dwarak Ghosh),MALE,64,GENERAL,SUCI,Battery torch,1029,9,1038,0.53,260667
10,Detailed Results,West Bengal,72,Baharampur,7 Sujit Kumar Das,MALE,52,SC,IND,Bat,547,0,547,0.28,260667
10,Detailed Results,West Bengal,72,Baharampur,8 Rekha Roy,FEMALE,30,GENERAL,BMUP,Cot,413,1,414,0.21,260667
10,Detailed Results,TURN OUT,,,,TOTAL:,194545,3062,197607,75.81,,,,,
10,Detailed Results,West Bengal,73,Hariharpara,1 NIAMOT SHEIKH,MALE,70,GENERAL,AITC,Flowers and Grass,101982,678,102660,47.51,247421
10,Detailed Results,West Bengal,73,Hariharpara,2 MIR ALAMGIR (PALASH),MALE,49,GENERAL,INC,Hand,88000,594,88594,41,247421
10,Detailed Results,West Bengal,73,Hariharpara,3 TANMOY BISWAS,MALE,34,GENERAL,BJP,Lotus,18261,117,18378,8.51,247421
10,Detailed Results,West Bengal,73,Hariharpara,4 GOLAM AMBIA,MALE,54,GENERAL,SUCI,Battery torch,1711,14,1725,0.8,247421
10,Detailed Results,West Bengal,73,Hariharpara,5 NOTA,NOTA,NOTA,1105,12,1117,0.52,247421,,,
10,Detailed Results,West Bengal,73,Hariharpara,6 RAFIKUL ISLAM,MALE,32,GENERAL,IND,COCONUT FARM,1079,0,1079,0.5,247421
10,Detailed Results,West Bengal,73,Hariharpara,7 SAHABUR RAHAMAN KHA,MALE,46,GENERAL,IND,Bat,994,0,994,0.46,247421
10,Detailed Results,West Bengal,73,Hariharpara,8 MINTU HALDAR,MALE,39,GENERAL,IND,Chappals,673,1,674,0.31,247421
10,Detailed Results,West Bengal,73,Hariharpara,9 ABUBAKKAR MANDAL,MALE,64,GENERAL,IND,Cauliflower,265,2,267,0.12,247421
10,Detailed Results,West Bengal,73,Hariharpara,10 ALAMGIR MANDAL,MALE,39,GENERAL,IND,COMPUTER,230,1,231,0.11,247421
10,Detailed Results,West Bengal,73,Hariharpara,11 WAHED ANSARY,MALE,48,GENERAL,IND,BOX,202,0,202,0.09,247421
10,Detailed Results,West Bengal,73,Hariharpara,12 INDRAJIT BAGDI,MALE,51,SC,IND,Green Chilli,153,1,154,0.07,247421
10,Detailed Results,TURN OUT,,,,TOTAL:,214655,1420,216075,87.33,,,,,
10,Detailed Results,West Bengal,74,Nowda,1 SAHINA MOMTAZ KHAN,FEMALE,55,GENERAL,AITC,Flowers and Grass,117130,554,117684,58.16,247688
10,Detailed Results,West Bengal,74,Nowda,2 ANUPAM MANDAL,MALE,32,GENERAL,BJP,Lotus,43238,293,43531,21.51,247688
10,Detailed Results,West Bengal,74,Nowda,3 MOSARAF HOSSAIN MONDAL (MADHU),MALE,42,GENERAL,INC,Hand,31442,146,31588,15.61,247688
10,Detailed Results,West Bengal,74,Nowda,4 SAMIK MANDAL,MALE,50,GENERAL,IND,Football,4323,70,4393,2.17,247688
10,Detailed Results,West Bengal,74,Nowda,5 SAMINUL ANSARY,MALE,26,GENERAL,IND,Bat,1397,0,1397,0.69,247688
10,Detailed Results,West Bengal,74,Nowda,6 NOTA,NOTA,NOTA,1301,7,1308,0.65,247688,,,
10,Detailed Results,West Bengal,74,Nowda,7 SAHINA MAMTAJ,FEMALE,43,GENERAL,IND,Cauliflower,946,3,949,0.47,247688
10,Detailed Results,West Bengal,74,Nowda,8 MD. WASIM AKRAM,MALE,26,GENERAL,HAMS,Pan,893,0,893,0.44,247688
