ac_no,ac_name,district,reservation,pop_total,pop_male,pop_female,pop_0_6,sc_pop,st_pop,literates,illiterates,households,total_workers,main_workers,cultivators,agri_labourers,hh_industry_workers,other_workers,sex_ratio,child_ratio_0_6,sc_pct,st_pct,literacy_pct,female_literacy_pct,workforce_participation_pct,agri_worker_share_pct,other_worker_share_pct,electors_2021,polling_pct_2021,nota_2021,total_valid_votes_2021,candidates_2021,winner_2021,winner_party_2021,winner_sex_2021,winner_age_2021,winner_vote_pct_2021,electors_2011,polling_pct_2011,nfhs_under15_pct,nfhs_sex_ratio,nfhs_female_school_pct,nfhs_tfr
85,krishnanagar dakshin,nadia,GEN,297041,152547,144494,31686,77348,10629,188469,108571,70676,113207,96935,15784,31633,8560,40956,947.0,10.67,26.04,3.58,71.03,66.1,38.11,41.89,36.18,225118,87.1,2156,193520,8,1 UJJAL BISWAS,AITC,MALE,67,46.88,174161,88.4,21.5,1071.0,,
86,santipur,nadia,GEN,284260,145388,138872,28140,94337,7165,193810,90450,67506,126830,111358,5585,10812,41654,53306,955.0,9.9,33.19,2.52,75.67,70.9,44.62,12.93,42.03,255619,86.16,2364,217307,8,1 JAGANNATH SARKAR,BJP,MALE,58,49.94,190634,89.83,21.5,1071.0,,
87,ranaghat uttar paschim,nadia,GEN,404139,206800,197339,35423,127956,9855,302599,101540,96405,153169,138394,11061,19832,19236,88263,954.0,8.77,31.66,2.44,82.07,77.98,37.9,20.17,57.62,265846,83.96,2216,220935,10,1 PARTHASARATHI CHATTERJEE,BJP,MALE,67,50.91,211540,88.13,21.5,1071.0,,
88,krishnaganj,nadia,GEN,333060,172077,160982,32202,148923,14219,230575,102484,78517,119661,103420,28881,34272,5388,34877,936.0,9.67,44.71,4.27,76.64,71.59,35.93,52.78,29.15,273728,84.79,2091,229839,9,1 ASHIS KUMAR BISWAS,BJP,MALE,54,50.73,210505,87.97,21.5,1071.0,,
89,ranaghat uttar purba,nadia,GEN,351914,181647,170266,34117,195197,11737,251428,100485,81031,122829,108145,28699,32227,4902,42316,937.0,9.69,55.47,3.34,79.12,74.35,34.9,49.6,34.45,264929,81.16,2339,212377,9,1 ASHIM BISWAS,BJP,MALE,45,54.39,201195,84.75,21.5,1071.0,,
90,ranaghat dakshin,nadia,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,285180,84.76,1561,240110,6,1 MUKUT MANI ADHIKARI,BJP,MALE,31,49.34,222418,87.3,21.5,1071.0,,
91,chakdaha,nadia,GEN,305940,157062,148877,27017,108736,21547,231903,74037,71988,110005,97255,14842,23655,3651,55106,948.0,8.83,35.54,7.04,83.14,78.49,35.96,35.0,50.09,245514,86.44,1475,210577,9,1 Bankim Chandra Ghosh,BJP,MALE,62,46.86,192318,90.2,21.5,1071.0,,
92,kalyani,nadia,GEN,336545,171497,165047,29305,136441,8013,261165,75379,80359,120724,103361,7255,13330,3078,79697,962.0,8.71,40.54,2.38,85.0,80.62,35.87,17.05,66.02,257683,85.67,2556,217761,8,1 AMBIKA ROY,BJP,MALE,48,44.04,198769,90.17,21.5,1071.0,,
93,haringhata,nadia,GEN,244066,125844,118222,23923,95442,11088,179517,64549,56600,90081,76966,17189,27624,2232,29919,939.0,9.8,39.11,4.54,81.55,76.1,36.91,49.75,33.21,240606,87.73,1420,209447,10,1 ASIM KUMAR SARKAR,BJP,MALE,60,46.31,187807,89.76,21.5,1071.0,,
94,bagdah,north twenty four parganas,GEN,310166,159978,150187,31043,164815,14696,213780,96385,73902,118752,102373,27297,42760,3666,28649,939.0,10.01,53.14,4.74,76.59,71.35,38.29,58.99,24.13,277464,78.92,1012,217771,6,1 Biswajit Das,BJP,MALE,54,49.41,203625,85.24,20.6,1013.0,,
95,bongaon uttar,north twenty four parganas,GEN,283111,145109,138002,26487,112265,4549,213397,69713,67420,103227,89291,14484,18234,3570,53001,951.0,9.36,39.65,1.61,83.16,79.03,36.46,31.7,51.34,251387,81.67,1818,203342,11,1 ASHOK KIRTANIA,BJP,MALE,47,47.65,189468,86.39,20.6,1013.0,,
96,bongaon dakshin,north twenty four parganas,GEN,291555,150133,141422,26413,141979,8861,215379,76176,70234,105702,92994,22595,32530,2635,35232,942.0,9.06,48.7,3.04,81.23,76.3,36.25,52.15,33.33,248278,83.95,1529,206292,8,1 SWAPAN MAJUMDER,BJP,MALE,39,47.07,189044,86.38,20.6,1013.0,,
97,gaighata,north twenty four parganas,GEN,313997,160544,153452,27744,134010,7299,241644,72353,76580,116935,102661,10977,22666,5428,63588,956.0,8.84,42.68,2.32,84.42,80.08,37.24,28.77,54.38,252053,84.75,1399,211834,9,1 SUBRATA THAKUR,BJP,MALE,41,47.27,186186,88.45,20.6,1013.0,,
98,swarupnagar,north twenty four parganas,GEN,282914,145101,137812,28955,84590,690,196338,86575,68025,107804,81544,22910,32730,3274,22629,950.0,10.23,29.9,0.24,77.31,72.99,38.11,51.61,20.99,246109,86.17,1254,210548,7,1 BINA MONDAL,AITC,FEMALE,45,47.11,196006,87.13,20.6,1013.0,,
99,baduria,north twenty four parganas,GEN,304536,155523,149013,33480,49479,2406,215598,88938,71767,113550,91737,16723,24440,4382,46190,958.0,10.99,16.25,0.79,79.54,76.04,37.29,36.25,40.68,243747,87.48,1952,210930,7,1 ABDUR RAHIM QUAZI,AITC,MALE,53,51.53,188461,89.85,20.6,1013.0,,
100,habra,north twenty four parganas,GEN,266659,136343,130315,24408,74679,5827,209434,57224,63953,96222,85375,5583,11796,3778,64218,956.0,9.15,28.01,2.19,86.45,83.03,36.08,18.06,66.74,242425,84.45,1276,202881,8,1 JYOTI PRIYA MALLICK,AITC,MALE,63,44.34,180458,86.9,20.6,1013.0,,
101,ashoknagar,north twenty four parganas,GEN,314393,160070,154323,30666,68373,6686,241984,72409,76292,113984,98560,12016,19644,4434,62465,964.0,9.75,21.75,2.13,85.29,81.7,36.26,27.78,54.8,257180,84.35,1604,215113,9,1 NARAYAN GOSWAMI,AITC,MALE,51,43.18,193115,88.34,20.6,1013.0,,
102,amdanga,north twenty four parganas,GEN,357527,183161,174365,38187,68123,4700,263630,93897,83249,129590,110442,15443,24404,4209,66384,952.0,10.68,19.05,1.31,82.55,79.05,36.25,30.75,51.23,242462,87.4,2314,209418,10,1 RAFIQUR RAHAMAN,AITC,MALE,60,42.0,177905,91.12,20.6,1013.0,,
103,bijpur,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,192316,72.54,1222,137869,8,1 SUBODH ADHIKARY,AITC,MALE,48,47.9,158823,80.09,20.6,1013.0,,
104,naihati,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,193930,80.71,1689,154767,6,1 PARTHA BHOWMICK,AITC,MALE,57,49.69,153264,85.84,20.6,1013.0,,
105,bhatpara,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,154037,69.59,1146,106037,10,1 PAWAN KUMAR SINGH,BJP,MALE,33,53.4,123505,76.42,20.6,1013.0,,
106,jagatdal,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,233871,77.54,2558,178719,13,1 SOMENATH SHYAM ICHINI,AITC,MALE,50,48.01,172874,85.01,20.6,1013.0,,
107,noapara,north twenty four parganas,GEN,269777,138148,131628,20186,49195,3492,226758,43018,63078,89080,81218,122,269,1644,79182,953.0,7.48,18.24,1.29,90.85,87.88,33.02,0.44,88.89,262153,73.6,2873,189748,11,1 MANJU BASU,AITC,FEMALE,68,48.9,205070,82.98,20.6,1013.0,,
108,barrackpur,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,215356,68.95,1923,146319,6,1 RAJU CHAKRABORTY (RAJ),AITC,MALE,46,46.47,170241,77.86,20.6,1013.0,,
109,khardaha,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,232619,78.76,2407,180732,7,1 KAJAL SINHA,AITC,MALE,59,49.04,169661,87.26,20.6,1013.0,,
110,dum dum uttar,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,273015,78.15,2107,211038,7,1 CHANDRIMA BHATTACHARYA,AITC,FEMALE,66,44.79,204245,86.82,20.6,1013.0,,
111,panihati,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,230748,75.59,2326,172022,7,1 NIRMAL GHOSH,AITC,MALE,72,49.61,186741,81.17,20.6,1013.0,,
112,kamarhati,north twenty four parganas,GEN,298545,153962,144582,22919,10946,2989,241637,56907,63384,97747,86544,439,513,2382,83209,939.0,7.68,3.67,1.0,87.67,84.93,32.74,0.97,85.13,197103,73.25,1547,142757,10,1 MADAN MITRA,AITC,MALE,66,51.17,161809,79.07,20.6,1013.0,,
113,baranagar,north twenty four parganas,GEN,276878,142517,134361,19255,13884,1700,234408,42470,70109,102172,94356,266,396,2827,90865,943.0,6.95,5.01,0.61,90.99,88.54,36.9,0.65,88.93,217774,73.72,2365,157881,7,1 TAPAS ROY,AITC,MALE,65,53.42,186723,79.48,20.6,1013.0,,
114,dum dum,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,247858,74.9,2035,183295,9,1 BRATYA BASU,AITC,MALE,52,47.48,199321,80.84,20.6,1013.0,,
115,rajarhat new town,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,289075,81.33,2028,232874,7,1 TAPASH CHATTERJEE,AITC,MALE,59,54.22,184101,89.11,20.6,1013.0,,
116,bidhannagar,north twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,243360,66.8,2198,159822,10,1 SUJIT BOSE S/O - LATE AJIT BOSE,AITC,MALE,58,46.85,200265,74.36,20.6,1013.0,,
117,rajarhat gopalpur,north twenty four parganas,GEN,345230,174579,170650,29673,65295,3939,284369,60861,86863,128923,121008,361,375,2022,118249,977.0,8.6,18.91,1.14,90.12,87.62,37.34,0.57,91.72,257447,69.58,2251,176465,13,1 ADITI MUNSHI,AITC,FEMALE,32,49.04,192748,78.03,20.6,1013.0,,
118,madhyamgram,north twenty four parganas,GEN,327270,166613,160656,32038,39109,5438,253189,74080,77453,114992,104078,5432,6275,2735,89634,964.0,9.79,11.95,1.66,85.76,82.52,35.14,10.18,77.95,272397,84.66,3137,227279,7,1 RATHIN GHOSH,AITC,MALE,63,48.93,197211,88.57,20.6,1013.0,,
119,barasat,north twenty four parganas,GEN,302253,153105,149148,25399,54505,3967,245608,56645,74894,105447,96418,918,1295,2966,91238,974.0,8.4,18.03,1.31,88.71,86.02,34.89,2.1,86.53,279592,80.9,2678,223019,10,1 CHIRANJEET CHAKRABARTI,AITC,MALE,70,46.27,211207,84.51,20.6,1013.0,,
120,deganga,north twenty four parganas,GEN,320756,164050,156706,39469,33329,2177,222020,98736,72627,112573,87067,19056,27030,3662,37319,955.0,12.3,10.39,0.68,78.93,75.96,35.1,40.94,33.15,242652,88.39,2098,212280,8,1 RAHIMA MONDAL,AITC,FEMALE,51,46.7,175793,90.3,20.6,1013.0,,
121,haroa,north twenty four parganas,GEN,313349,162286,151063,39571,50575,13728,209310,104039,68330,105635,85076,14770,27275,2341,40689,931.0,12.63,16.14,4.38,76.45,71.79,33.71,39.8,38.52,259206,87.75,2928,224465,7,1 ISLAM SK NURUL (HAJI),AITC,MALE,57,57.34,186630,89.86,20.6,1013.0,,
122,minakhan,north twenty four parganas,GEN,366229,188015,178214,51368,100073,20375,227426,138803,78535,124627,89065,19172,33190,3604,33098,948.0,14.03,27.33,5.56,72.23,66.51,34.03,42.02,26.56,236528,89.85,3937,208412,4,1 USHA RANI MONDAL,AITC,FEMALE,47,51.72,164562,91.88,20.6,1013.0,,
123,sandeshkhali,north twenty four parganas,GEN,329337,167764,161572,45273,122483,77245,201754,127583,75295,125937,75268,14351,31605,1557,27754,963.0,13.75,37.19,23.45,71.02,63.19,38.24,36.49,22.04,238633,86.34,2454,203331,7,1 SUKUMAR MAHATA,AITC,MALE,44,54.64,172416,89.83,20.6,1013.0,,
124,basirhat dakshin,north twenty four parganas,GEN,339530,172662,166868,36373,59721,2027,239380,100149,77402,122626,106952,9013,14304,6724,76910,966.0,10.71,17.59,0.6,78.96,75.27,36.12,19.02,62.72,275934,85.52,1680,234048,7,1 DR. SAPTARSHI BANERJEE,AITC,MALE,40,49.15,213441,87.33,20.6,1013.0,,
125,basirhat uttar,north twenty four parganas,GEN,337710,172913,164796,41182,43269,9768,225013,112696,77241,121208,97318,12854,28661,5621,50180,953.0,12.19,12.81,2.89,75.88,72.15,35.89,34.25,41.4,268034,89.04,1946,236474,6,1 RAFIKUL ISLAM MONDAL,AITC,MALE,61,57.55,193135,86.65,20.6,1013.0,,
126,hingalganj,north twenty four parganas,GEN,294522,150440,144082,33186,166638,23605,196717,97805,75084,121946,74378,12826,28201,7720,25628,958.0,11.27,56.58,8.01,75.27,67.75,41.4,33.64,21.02,228508,85.29,1734,192945,7,1 DEBES MANDAL,AITC,MALE,56,53.78,185015,86.16,20.6,1013.0,,
127,gosaba,south twenty four parganas,GEN,249128,127073,122055,29149,145633,20760,172589,76538,58228,108309,50198,14341,21687,1423,12745,961.0,11.7,58.46,8.33,78.46,70.75,43.48,33.27,11.77,230348,85.08,1013,194791,6,1 JAYANTA NASKAR,AITC,MALE,73,53.99,180768,85.58,25.5,1055.0,,
128,basanti,south twenty four parganas,GEN,329282,167562,161720,50058,116060,19660,189981,139301,68992,128717,69981,18036,26936,3644,21363,965.0,15.2,35.25,5.97,68.04,60.34,39.09,34.94,16.6,260681,82.21,1905,212003,7,1 SHYAMAL MONDAL,AITC,MALE,56,52.1,182806,81.26,25.5,1055.0,,
129,kultali,south twenty four parganas,GEN,294356,150911,143445,45890,118422,6943,171764,122592,58342,116042,61972,19103,23963,3913,14992,951.0,15.59,40.23,2.36,69.13,59.36,39.42,37.11,12.92,265561,85.62,1045,226303,10,1 Ganesh Chandra Mondal,AITC,MALE,40,51.57,187950,89.0,25.5,1055.0,,
130,patharpratima,south twenty four parganas,GEN,320709,163724,156985,40823,73125,2951,228578,92131,67621,135521,61941,16415,22862,1583,21080,959.0,12.73,22.8,0.92,81.67,74.86,42.26,28.98,15.56,263675,87.98,1213,230572,6,1 SAMIR KUMAR JANA,AITC,MALE,71,51.85,199486,91.36,25.5,1055.0,,
131,kakdwip,south twenty four parganas,GEN,297980,152216,145763,35837,100980,1547,209427,88552,64566,107371,65799,11799,14719,1898,37382,958.0,12.03,33.89,0.52,79.89,73.53,36.03,24.7,34.82,247826,88.69,1018,218574,6,1 MANTURAM PAKHIRA,AITC,MALE,57,52.14,180377,91.03,25.5,1055.0,,
132,sagar,south twenty four parganas,GEN,336742,173179,163562,41005,88945,1469,251076,85665,71967,129983,73712,22071,22358,1729,27553,944.0,12.18,26.41,0.44,84.9,78.3,38.6,34.18,21.2,274715,87.23,1023,238042,5,1 BANKIM CHANDRA HAZRA,AITC,MALE,71,53.96,203625,91.9,25.5,1055.0,,
133,kulpi,south twenty four parganas,GEN,301298,154088,147210,42035,87374,419,195835,105462,62482,99040,56388,6854,16564,3074,29895,955.0,13.95,29.0,0.14,75.54,68.9,32.87,23.65,30.18,220144,87.87,1683,191445,6,1 JOGARANJAN HALDER,AITC,MALE,67,50.01,164733,86.68,25.5,1055.0,,
134,raidighi,south twenty four parganas,GEN,309536,159139,150397,39322,88713,4475,207829,101707,64198,112513,67667,15404,23153,3673,25436,945.0,12.7,28.66,1.45,76.91,69.43,36.35,34.27,22.61,273558,87.62,2329,237258,8,1 ALOKE JALDATA,AITC,MALE,54,48.47,207140,90.47,25.5,1055.0,,
135,mandirbazar,south twenty four parganas,GEN,252124,129470,122653,33666,114048,112,166588,85535,53947,83780,51408,5215,11521,2366,32305,947.0,13.35,45.23,0.04,76.26,68.64,33.23,19.98,38.56,229129,87.46,2397,197668,11,1 JOYDEB HALDER,AITC,MALE,45,48.04,181170,85.95,25.5,1055.0,,
136,jaqynagar,south twenty four parganas,GEN,271900,139081,132818,38762,80877,200,171005,100894,55338,93495,61996,8132,12408,5011,36444,955.0,14.26,29.75,0.07,73.35,66.34,34.39,21.97,38.98,239968,84.4,1162,201267,10,1 BISWANATH DAS,AITC,MALE,55,51.85,174871,82.91,25.5,1055.0,,
137,baruipur purba,south twenty four parganas,GEN,358588,184175,174412,48074,165164,918,226351,132236,77044,124819,87179,11731,22530,5670,47246,947.0,13.41,46.06,0.26,72.9,65.27,34.81,27.45,37.85,265091,84.93,1851,223259,8,1 BIVAS SARDAR (VOBO),AITC,MALE,45,54.75,189023,84.78,25.5,1055.0,,
138,canning paschim,south twenty four parganas,GEN,331409,168610,162798,49333,142451,3713,196448,134960,69251,116193,77147,11054,16278,4507,45307,966.0,14.89,42.98,1.12,69.64,62.08,35.06,23.52,38.99,257681,84.84,3026,215322,8,1 Paresh Ram Das,AITC,MALE,43,50.86,177849,86.16,25.5,1055.0,,
139,canning purba,south twenty four parganas,GEN,381715,194700,187015,59976,96361,16198,221977,159738,77379,126898,81399,16688,29871,2586,32252,961.0,15.71,25.24,4.24,68.99,62.68,33.24,36.69,25.42,262349,88.76,2258,230499,6,1 SAOKAT MOLLA,AITC,MALE,49,52.54,173009,90.61,25.5,1055.0,,
140,baruipur paschim,south twenty four parganas,GEN,253757,129291,124465,25116,87279,448,186964,66792,59439,90785,70817,6685,7763,2121,54247,963.0,9.9,34.39,0.18,81.77,77.02,35.78,15.92,59.75,253749,83.37,1528,209757,9,1 BIMAN BANERJEE,AITC,MALE,72,57.27,181548,84.46,25.5,1055.0,,
141,magrahat purba,south twenty four parganas,GEN,313827,161285,152541,42259,105041,219,209202,104624,65130,104393,74740,8086,11775,6797,48080,946.0,13.47,33.47,0.07,77.04,70.4,33.26,19.03,46.06,242530,85.62,2684,204673,8,1 NAMITA SAHA,AITC,FEMALE,68,53.82,177554,85.27,25.5,1055.0,,
142,magrahat paschim,south twenty four parganas,GEN,298046,152947,145099,43608,64913,95,186493,111552,60099,95299,63355,6820,9707,8257,38570,949.0,14.63,21.78,0.03,73.3,67.41,31.97,17.34,40.47,229437,84.99,2869,191996,11,1 GIAS UDDIN MOLLA,AITC,MALE,64,49.93,169168,83.93,25.5,1055.0,,
143,diamond harbour,south twenty four parganas,GEN,301416,153921,147495,36904,66563,139,206200,95215,66924,106147,76964,5331,10124,3136,58371,958.0,12.24,22.08,0.05,77.96,72.77,35.22,14.56,54.99,255132,88.4,1446,223948,12,1 PANNALAL HALDER,AITC,MALE,70,43.69,192505,85.39,25.5,1055.0,,
144,falta,south twenty four parganas,GEN,300924,153798,147125,34856,73571,110,205624,95300,68738,107720,76801,6960,14603,4927,50309,957.0,11.58,24.45,0.04,77.28,71.2,35.8,20.02,46.7,236768,87.92,1180,206747,11,1 SANKAR KUMAR NASKAR,AITC,MALE,68,56.35,182605,85.65,25.5,1055.0,,
145,satgachia,south twenty four parganas,GEN,292536,149641,142894,31714,45841,333,210963,81572,67663,108984,82726,6339,13366,10745,52274,955.0,10.84,15.67,0.11,80.88,75.68,37.25,18.08,47.97,270193,87.44,1845,234169,7,1 MOHAN CHANDRA NASKAR,AITC,MALE,60,50.37,214998,85.35,25.5,1055.0,,
146,bishnupur sc,south twenty four parganas,GEN,338606,173047,165559,39604,134303,162,236627,101979,75996,123023,95085,7574,10128,12704,64678,957.0,11.7,39.66,0.05,79.14,72.85,36.33,14.39,52.57,278650,85.72,2978,235707,6,1 DILIP MONDAL,AITC,MALE,54,57.46,210599,84.49,25.5,1055.0,,
147,sonarpur dakshin,south twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,288263,80.83,2541,230257,15,1 ARUNDHUTI MAITRA (LOVELY),AITC,FEMALE,30,46.92,202701,83.82,25.5,1055.0,,
148,bhangore,south twenty four parganas,GEN,290796,149660,141135,40660,57540,2591,186579,104217,59852,98957,80263,19773,17669,4393,38427,943.0,13.98,19.79,0.89,74.59,70.51,34.03,37.84,38.83,271897,89.28,3725,238942,8,1 MD. NAWSAD SIDDIQUE,RSSCMJP,MALE,28,45.1,187372,92.83,25.5,1055.0,,
149,kasba,south twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,306266,72.91,2465,220678,10,1 AHMED JAVED KHAN,AITC,MALE,64,54.39,224955,77.45,25.5,1055.0,,
150,jadavpur,south twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,299818,72.0,2713,212689,12,1 DEBABRATA MAJUMDAR (MALAY),AITC,MALE,56,45.54,253932,78.41,25.5,1055.0,,
151,sonarpur uttar,south twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,300330,80.35,2737,238381,9,1 FIRDOUSI BEGUM,AITC,FEMALE,42,49.88,197582,82.38,25.5,1055.0,,
152,tollygunj,south twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,269713,73.28,2297,195055,13,1 AROOP BISWAS,AITC,MALE,57,51.4,234411,78.08,25.5,1055.0,,
153,behala purba,south twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,308285,71.97,2729,219037,12,1 Ratna Chatterjee,AITC,FEMALE,49,50.01,243394,79.79,25.5,1055.0,,
154,behala paschim,south twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,313198,74.15,2415,229383,9,1 PARTHA CHATTERJEE,AITC,MALE,68,49.51,260955,77.87,25.5,1055.0,,
155,maheshtala,south twenty four parganas,GEN,369662,189380,180282,38281,49643,1502,271660,98002,83705,134774,116259,449,436,12706,102665,952.0,10.36,13.43,0.41,81.98,78.34,36.46,0.66,76.18,271007,81.25,2043,217920,7,1 DULAL CHANDRA DAS,AITC,MALE,76,56.38,214985,81.73,25.5,1055.0,,
156,budge budge,south twenty four parganas,GEN,327127,167781,159345,34814,59611,1232,236255,90872,76531,116363,85851,2077,6292,5948,71532,950.0,10.64,18.22,0.38,80.82,76.25,35.57,7.19,61.47,256136,84.78,2726,214157,9,1 ASHOK KUMAR DEB,AITC,MALE,71,56.41,199778,83.8,25.5,1055.0,,
157,metiaburuz,south twenty four parganas,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,256315,76.76,3004,193574,11,1 ABDUL KHALEQUE MOLLA,AITC,MALE,76,76.85,182250,72.96,25.5,1055.0,,
158,kolkata port,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,235933,64.64,1355,151083,11,1 Firhad Hakim,AITC,MALE,62,69.23,199234,65.92,,,,
159,bhabanipur,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,206389,61.79,1563,125806,10,1 Sobhandeb Chattopadhyay,AITC,MALE,77,57.71,212821,63.78,,,,
160,rashbehari,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,206013,60.58,1641,122793,13,1 DEBASISH KUMAR,AITC,MALE,61,52.79,200423,67.67,,,,
161,ballygunge,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,247662,60.99,1314,149645,12,1 Subrata Mukherjee,AITC,MALE,74,70.6,219835,66.16,,,,
162,chowrangee,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,208201,53.61,1207,110281,12,1 BANDYOPADHYAY NAYNA,AITC,FEMALE,52,62.87,203052,54.43,,,,
163,entally,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,230814,67.98,980,155883,16,1 Swarna Kamal Saha,AITC,MALE,72,64.83,194107,69.55,,,,
164,beleghata,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,250881,63.18,1559,156942,14,1 PARESH PAUL,AITC,MALE,75,65.1,229927,70.55,,,,
165,jorasanko,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,197950,50.08,1024,97927,11,1 VIVEK GUPTA,AITC,MALE,45,52.67,203439,55.75,,,,
166,shyampukur,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,176557,58.36,1053,101907,13,1 Dr. SHASHI PANJA,AITC,FEMALE,58,54.18,185859,67.69,,,,
167,maniktala,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,211308,62.99,1413,131547,12,1 Sadhan Pande,AITC,MALE,70,50.82,203191,72.98,,,,
168,kashipur belgachia,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,223714,60.33,1564,133295,10,1 Atin Ghosh,AITC,MALE,62,56.48,210566,67.32,,,,
169,bally,haora,GEN,293373,156911,136462,30479,7161,1348,233702,59671,55619,108152,94919,619,335,1517,92448,870.0,10.39,2.44,0.46,88.9,86.48,36.87,0.88,85.48,176197,71.49,1204,124667,12,1 RANA CHATTERJEE,AITC,MALE,48,42.38,142634,73.78,21.2,1011.0,,
170,howrah uttar,haora,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,218547,68.53,1668,148050,14,1 GAUTAM CHOWDHURI,AITC,MALE,48,47.81,172171,72.52,21.2,1011.0,,
171,howrah madhya,haora,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,266542,73.26,2734,192409,14,"1 Arup Roy, S/o Late Prabhat Roy",AITC,MALE,65,57.16,224536,74.11,21.2,1011.0,,
172,shibpur,haora,GEN,279209,145484,133724,23671,9079,865,226693,52515,63286,102926,93043,231,261,3130,89419,919.0,8.48,3.25,0.31,88.71,86.15,36.86,0.48,86.88,233676,78.02,1901,180307,11,1 Manoj Tiwary,AITC,MALE,35,50.69,197987,82.31,21.2,1011.0,,
173,howrah dakshin,haora,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,294243,73.77,2937,213992,13,1 NANDITA CHOWDHURY,AITC,FEMALE,60,53.86,234521,76.94,21.2,1011.0,,
174,sankrail,haora,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,277076,80.2,1848,220277,9,1 PRIYA PAUL,AITC,FEMALE,50,50.37,211354,81.39,21.2,1011.0,,
175,panchla,haora,GEN,329473,168817,160655,40795,59026,90,229391,100081,67453,130345,103931,3973,5765,47727,46465,952.0,12.38,17.92,0.03,79.46,75.26,39.56,7.47,35.65,266183,81.55,2405,214598,6,1 GULSAN MULLICK,AITC,MALE,63,48.19,206662,81.02,21.2,1011.0,,
176,uluberia purba,haora,GEN,290031,148781,141249,35170,40033,283,204502,85528,61728,102389,84007,814,2603,23847,56741,949.0,12.13,13.8,0.1,80.24,76.46,35.3,3.34,55.42,233764,82.63,2100,190910,8,1 BIDESH RANJAN BOSE,AITC,MALE,67,44.83,176922,83.97,21.2,1011.0,,
177,uluberia uttar,haora,GEN,283780,145108,138672,35283,96662,115,193473,90307,60729,100156,79551,7357,14086,15949,42159,956.0,12.43,34.06,0.04,77.86,72.67,35.29,21.41,42.09,224423,82.81,1244,184532,8,1 Dr. Nirmal Maji,AITC,MALE,60,49.25,170752,85.45,21.2,1011.0,,
